Parameter,Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Overfitting
phi1,CatBoost,0.9988626927526798,0.9974739931896326,0.0011624043623403204,0.00160225051866774,0.0015833168045537348,0.002378811918599269,0.0013886995630472132
phi1,RandomForest,0.9990697717379399,0.9954817116609391,0.000939478225986499,0.0020188093278337422,0.0014319362478182555,0.003181484549114677,0.003588060077000743
phi1,ExtraTrees,0.9985548764134174,0.9961889012802222,0.0012921335615650458,0.0020733134574934314,0.0017847665284353195,0.0029219174796901158,0.0023659751331952528
phi1,SVR,-0.1187060006710654,-0.11859849047484516,0.04398250592994215,0.04459058015590736,0.049657734444713025,0.05005874549278698,-0.0001075101962202396
phi1,NeuralNet,0.7083782472552994,0.13353461501407804,0.020030098254547737,0.03365258779494356,0.025353555723463723,0.04405735859079085,0.5748436322412214
phi1,ElasticNet,0.0,-6.866442820330221e-06,0.0420075785091667,0.042414522944683196,0.04694927799164666,0.047330853743649676,6.866442820330221e-06
phi2,XGBoost,0.9997983726320011,0.9971248463446774,0.000281542815219059,0.0009059147955847504,0.00037947463063487107,0.0013888558972612911,0.0026735262873237575
phi2,LightGBM,0.9999313777860392,0.9986963309629369,0.00015760194159412217,0.0005496624463649856,0.0002213810124207505,0.000935212564632449,0.0012350468231023815
phi2,CatBoost,0.9996060820583117,0.998888854998603,0.0003765931814202912,0.0005278459580398909,0.0005304090034570896,0.000863399963502684,0.0007172270597086694
phi2,RandomForest,0.9996440857183424,0.9977934744346182,0.0002896812422410797,0.0006431440123477576,0.0005041743116275081,0.0012166933639651642,0.0018506112837242128
phi2,ExtraTrees,0.9990750933866901,0.9975919064890165,0.0005899425657067507,0.0008875662001056779,0.0008127499450687203,0.001271052037729643,0.0014831868976735718
phi2,SVR,-0.01655505130194812,-0.03434941765531585,0.02492110373863978,0.02413933870957824,0.026944706528932938,0.026342700524952908,0.01779436635336773
phi2,NeuralNet,0.3541327052874359,-0.9295398637394825,0.017010527444378025,0.027132009942514117,0.02147729849751818,0.03597936839723238,1.2836725690269184
phi2,ElasticNet,0.0,-0.002764894587293565,0.02436886352225407,0.023410955913109703,0.02672440264333088,0.025937386777649396,0.002764894587293565
phi3,XGBoost,0.9998913453542543,0.9979490699281809,0.00032881974693508024,0.0013874774327230018,0.00042644804332478707,0.0018642201464315422,0.001942275426073392
phi3,LightGBM,0.9999827807089238,0.9997682527302069,0.0001290204239825881,0.00045352071395552974,0.00016976556755066396,0.0006266558290563863,0.0002145279787169052
phi3,CatBoost,0.9998332413783086,0.9997007857245737,0.00038407523397552873,0.0005154859910419435,0.0005283067072710065,0.0007120539917506044,0.00013245565373498636
phi3,RandomForest,0.9999996521961546,0.9999987902396287,1.3216130823928542e-05,2.4926735986639514e-05,2.4127324520532267e-05,4.527635407330395e-05,8.619565259326833e-07
phi3,ExtraTrees,0.99996324595234,0.9999611234660251,0.00015026441939023835,0.00015563364387225398,0.00024802448872870785,0.0002566643436990384,2.122486314926064e-06
phi3,SVR,-0.18042257243304238,-0.17310057306652737,0.040023542553777144,0.040281442415327495,0.04444887042892298,0.04458506396186535,-0.0073219993665150085
phi3,NeuralNet,0.6219119844685922,-0.09506016620603996,0.0198519885716222,0.03209204328818584,0.025155817290351195,0.04307653490986234,0.7169721506746322
phi3,ElasticNet,0.0,-3.7152797069728294e-05,0.034693473942032725,0.035046435233496674,0.0409111771703563,0.04116516286866286,3.7152797069728294e-05
delta_I,XGBoost,0.99984615421168,0.9969876138453371,0.0003130361859132573,0.001256722945648622,0.000410191026889091,0.0018995363620124856,0.002858540366342921
delta_I,LightGBM,0.9999289521012693,0.999190902761058,0.00021108006945071844,0.00067147947859672,0.00027875262705715154,0.0009844477021940755,0.0007380493402112664
delta_I,CatBoost,0.9997675966109619,0.9996105210867889,0.0003828105391559302,0.000510887836237212,0.0005041555801350294,0.0006830213274422439,0.0001570755241729893
